block,image_id,image_type,manipulation,phase,subject,verbal_id,semantic_distance,verbal_acc_corrected
2,magnifier,target,horizontal_flip,post,e0qq5plag9smtkz,box,0.710162270607475,0.0
2,lip_gloss,target,upside_down,pre,e0qq5plag9smtkz,screwdriver,0.8162566663158095,0.0
2,ginger,target,regular,post,e0qq5plag9smtkz,ladybird_beetle,0.5835803107138618,0.0
2,parking_meter,target,horizontal_flip,pre,e0qq5plag9smtkz,,,0.0
2,axe,target,upside_down,post,e0qq5plag9smtkz,book,0.9578954676932706,0.0
3,egg_roll,target,regular,pre,e0qq5plag9smtkz,bear,0.7088261212983682,0.0
3,polar_bear,target,horizontal_flip,pre,e0qq5plag9smtkz,,,0.0
3,sidecar,target,regular,post,e0qq5plag9smtkz,snail,0.6915628754597152,0.0
3,aloe,target,upside_down,pre,e0qq5plag9smtkz,spider,0.5731059591845453,0.0
3,parking_meter,target,horizontal_flip,post,e0qq5plag9smtkz,phone,0.655463279740444,0.0
3,lip_gloss,target,upside_down,post,e0qq5plag9smtkz,screwdriver,0.8162566663158095,0.0
4,dumbbell,target,regular,pre,e0qq5plag9smtkz,bush,0.8355536751246292,0.0
4,egg_roll,target,regular,post,e0qq5plag9smtkz,bear,0.7088261212983682,0.0
4,aloe,target,upside_down,post,e0qq5plag9smtkz,spider,0.5731059591845453,0.0
4,shears,target,upside_down,pre,e0qq5plag9smtkz,hammer,0.6678999824842466,0.0
4,surfboard,target,horizontal_flip,pre,e0qq5plag9smtkz,,,0.0
4,polar_bear,target,horizontal_flip,post,e0qq5plag9smtkz,alligator,0.5177504918527875,0.0
5,shears,target,upside_down,post,e0qq5plag9smtkz,hammer,0.6678999824842466,0.0
5,surfboard,target,horizontal_flip,post,e0qq5plag9smtkz,fish,0.7056971593727112,0.0
5,dumbbell,target,regular,post,e0qq5plag9smtkz,grass,0.8182918765484584,0.0
0,dumbbell,target,regular,pre,ubnb432zacjn9pf,rock,0.6575655352052647,0.0
0,rattlesnake,target,upside_down,pre,ubnb432zacjn9pf,whale,0.5374081699987703,0.0
0,bullet,target,horizontal_flip,pre,ubnb432zacjn9pf,dagger,0.5149559612676773,0.0
1,bullet,target,horizontal_flip,post,ubnb432zacjn9pf,man,0.6911753981793711,0.0
1,dumbbell,target,regular,post,ubnb432zacjn9pf,dumbbell,0.0,1.0
1,egg_roll,target,upside_down,pre,ubnb432zacjn9pf,clothes,0.7164330914023169,0.0
1,rattlesnake,target,upside_down,post,ubnb432zacjn9pf,snake,0.2809631244376995,0.0
1,mannequin,target,regular,pre,ubnb432zacjn9pf,man,0.6689387032051166,0.0
1,pomegranate,target,horizontal_flip,pre,ubnb432zacjn9pf,basket,0.7458847013691356,0.0
2,peanut_butter,target,upside_down,pre,ubnb432zacjn9pf,pan,0.6211881942132287,0.0
2,egg_roll,target,upside_down,post,ubnb432zacjn9pf,mountain_lion,0.7649628379318375,0.0
2,puffin,target,regular,pre,ubnb432zacjn9pf,man,0.7761184518497153,0.0
2,pomegranate,target,horizontal_flip,post,ubnb432zacjn9pf,fruit,0.2583043475208247,0.0
2,backpack,target,horizontal_flip,pre,ubnb432zacjn9pf,book,0.7579417679999989,0.0
2,mannequin,target,regular,post,ubnb432zacjn9pf,drain,0.8545868038388763,0.0
3,missile,target,upside_down,pre,ubnb432zacjn9pf,pan,0.8045687442730574,0.0
3,puffin,target,regular,post,ubnb432zacjn9pf,land_mine,0.8742327737818805,0.0
3,sidecar,target,horizontal_flip,pre,ubnb432zacjn9pf,aeroplane,0.5894477394591153,0.0
3,pedal,target,regular,pre,ubnb432zacjn9pf,radio,0.7490386073664141,0.0
3,peanut_butter,target,upside_down,post,ubnb432zacjn9pf,pan,0.6211881942132287,0.0
3,backpack,target,horizontal_flip,post,ubnb432zacjn9pf,house_trailer,0.5753827110817861,0.0
4,sidecar,target,horizontal_flip,post,ubnb432zacjn9pf,duck,0.6316163791703157,0.0
4,garlic,target,horizontal_flip,pre,ubnb432zacjn9pf,tree,0.6520936961737929,0.0
4,missile,target,upside_down,post,ubnb432zacjn9pf,,,0.0
4,figurine,target,upside_down,pre,ubnb432zacjn9pf,slicer,0.7010735967630946,0.0
4,pedal,target,regular,post,ubnb432zacjn9pf,,,0.0
4,drill,target,regular,pre,ubnb432zacjn9pf,aeroplane,0.739208748378307,0.0
5,garlic,target,horizontal_flip,post,ubnb432zacjn9pf,statue,0.8273244552882619,0.0
5,drill,target,regular,post,ubnb432zacjn9pf,car,0.8284073295897443,0.0
5,figurine,target,upside_down,post,ubnb432zacjn9pf,figurine,0.0,1.0
0,mannequin,target,regular,pre,h5r0es3xos1tgge,rhinoceros,0.6952675825011261,0.0
0,shears,target,horizontal_flip,pre,h5r0es3xos1tgge,elephant,0.8068591733983805,0.0
0,surfboard,target,upside_down,pre,h5r0es3xos1tgge,whale,0.5979566293028726,0.0
1,mannequin,target,regular,post,h5r0es3xos1tgge,rhinoceros,0.6952675825011261,0.0
1,shears,target,horizontal_flip,post,h5r0es3xos1tgge,elephant,0.8068591733983805,0.0
1,surfboard,target,upside_down,post,h5r0es3xos1tgge,whale,0.5979566293028726,0.0
1,football_helmet,target,regular,pre,h5r0es3xos1tgge,turtle,0.61659552448073,0.0
1,axe,target,horizontal_flip,pre,h5r0es3xos1tgge,turtle,0.7995666288942647,0.0
1,garlic,target,upside_down,pre,h5r0es3xos1tgge,monkey,0.7561335599913187,0.0
2,peanut_butter,target,horizontal_flip,pre,h5r0es3xos1tgge,road_roller,0.8104966905109084,0.0
2,puddle,target,regular,pre,h5r0es3xos1tgge,chair,0.7984738218875683,0.0
2,rattlesnake,target,upside_down,pre,h5r0es3xos1tgge,tie,0.7315727505288735,0.0
2,axe,target,horizontal_flip,post,h5r0es3xos1tgge,surfboard,0.8181558466256844,0.0
2,football_helmet,target,regular,post,h5r0es3xos1tgge,wheel,0.7094584324823563,0.0
